UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType,id
11,28.0-,Mle,Indonesia,$76614.000,True,True,job:Manager,rURAL,instagram,14,15.0.0,2690,Pranks,8.0,6227.0.0,4,2.0.0,19.0,29:,Afternoon,5.0.0,5.0.:,/Boredom,Smrtphone,Android,5:00 PM,7.0.0,3.0.0,Athome,Mobile-Data,11
12,41.0-,Other,xPhilippines,$25105.000,False,False,job:labor/worker,uRBAN,TIKTOK,129,15.0.0,7191,Life Hacks,27.0,3535.0.0,9,26.0.0,48.0,35:,Evening,6.0.0,4.0.:,/Habit,Tablett,Android,2:00 PM,8.0.0,2.0.0,Athome,Wi-Fi,12
13,53.0-,Mle,Japan,$22839.000,False,False,job:Waiting staff,rURAL,INSTAGRAM,286,11.0.0,2811,Gming,29.0,7004.0.0,5,4.0.0,32.0,70:,Afternoon,5.0.0,5.0.:,/Habit,Smrtphone,Android,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,13
14,57.0-,Mle,xIndonesia,$88920.000,True,True,job:Waiting staff,rURAL,facebook,27,1.0.0,6153,Vlogs,24.0,2913.0.0,6,8.0.0,15.0,23:,Evening,6.0.0,4.0.:,/Entertainment,Tablett,Android,2:00 PM,8.0.0,2.0.0,Commuting,Wi-Fi,14
15,41.0-,Other,Vietnam,$63619.000,True,True,job:cashier,rURAL,youtube,207,18.0.0,13,Gming,16.0,9381.0.0,9,13.0.0,5.0,46:,Evening,6.0.0,4.0.:,/Boredom,Tablett,iOS,2:00 PM,8.0.0,2.0.0,Atschool,Wi-Fi,15
16,20.0-,Fmle,Philippines,$62821.000,True,True,job:Students,rURAL,YOUTUBE,66,12.0.0,5939,Entertainment,5.0,2340.0.0,7,10.0.0,11.0,44:,Evening,6.0.0,4.0.:,/Entertainment,Smrtphone,MacOS,2:00 PM,8.0.0,2.0.0,Atschool,Mobile-Data,16
17,39.0-,Fmle,Mexico,$33493.000,False,False,job:Waiting staff,rURAL,FACEBOOK,102,12.0.0,8000,ASMR,21.0,9795.0.0,5,18.0.0,15.0,48:,Afternoon,5.0.0,5.0.:,/Habit,Smrtphone,iOS,5:00 PM,7.0.0,3.0.0,Athome,Wi-Fi,17
18,19.0-,Fmle,xBrazil,$37069.000,False,False,job:students,rURAL,facebook,28,11.0.0,7220,ASMR,22.0,5289.0.0,2,9.0.0,29.0,52:,Evening,6.0.0,4.0.:,/Habit,Smrtphone,Windows,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,18
19,41.0-,Other,Japan,$27531.000,False,False,job:Labor/worker,rURAL,facebook,202,8.0.0,5329,Pranks,10.0,597.0.0,4,1.0.0,45.0,8:,Evening,6.0.0,4.0.:,/Entertainment,Smrtphone,iOS,2:00 PM,8.0.0,2.0.0,Atwork,Mobile-Data,19
20,61.0-,Mle,xUnited States,$57051.000,True,True,job:Labor/worker,uRBAN,INSTAGRAM,246,7.0.0,3622,Vlogs,23.0,8836.0.0,2,13.0.0,4.0,55:,Morning,8.0.0,2.0.:,/Habit,Smrtphone,MacOS,8:00 AM,10.0.0,0.0.0,Atwork,Mobile-Data,20
21,47.0-,Mle,xIndia,$27736.000,False,False,job:Waiting staff,rURAL,youtube,286,2.0.0,3684,Vlogs,13.0,7145.0.0,3,18.0.0,49.0,66:,Afternoon,5.0.0,5.0.:,/Habit,Tablett,iOS,5:00 PM,7.0.0,3.0.0,Commuting,Mobile-Data,21
22,55.0-,Mle,Brazil,$27710.000,False,False,job:Driver,rURAL,facebook,236,11.0.0,7873,Entertainment,29.0,2902.0.0,3,15.0.0,36.0,77:,Afternoon,5.0.0,5.0.:,/Boredom,Computer,Android,5:00 PM,7.0.0,3.0.0,Commuting,Mobile-Data,22
23,19.0-,Fmle,Pakistan,$87155.000,True,False,job:Students,rURAL,instagram,242,10.0.0,5311,Entertainment,26.0,6645.0.0,4,2.0.0,48.0,40:,Night,3.0.0,7.0.:,/Boredom,Smrtphone,Android,9:00 PM,5.0.0,5.0.0,Atwork,Mobile-Data,23
24,38.0-,Fmle,xIndia,$33975.000,False,False,job:Waiting staff,uRBAN,FACEBOOK,49,3.0.0,653,Pranks,14.0,8955.0.0,6,11.0.0,23.0,85:,Evening,6.0.0,4.0.:,/Habit,Smrtphone,iOS,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,24
25,50.0-,Mle,Germany,$82424.000,True,True,job:waiting staff,rURAL,TIKTOK,162,10.0.0,5800,Jokes/Memes,7.0,7694.0.0,3,29.0.0,15.0,31:,Evening,6.0.0,4.0.:,/Boredom,Smrtphone,Android,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,25
26,29.0-,Mle,xJapan,$65603.000,True,False,job:Labor/worker,uRBAN,TIKTOK,136,18.0.0,8813,Jokes/Memes,29.0,4830.0.0,1,14.0.0,46.0,48:,Afternoon,5.0.0,5.0.:,/Entertainment,Smrtphone,Android,5:00 PM,7.0.0,3.0.0,Atschool,Wi-Fi,26
27,39.0-,Mle,xJapan,$43252.000,False,True,job:students,rURAL,YOUTUBE,246,14.0.0,3791,Gming,20.0,7546.0.0,1,22.0.0,44.0,61:,Evening,6.0.0,4.0.:,/Habit,Smrtphone,Android,2:00 PM,8.0.0,2.0.0,Commuting,Mobile-Data,27
28,61.0-,Other,Vietnam,$21431.000,False,False,job:manager,uRBAN,INSTAGRAM,64,18.0.0,1646,Life Hacks,6.0,7368.0.0,9,15.0.0,3.0,52:,Night,3.0.0,7.0.:,/Habit,Smrtphone,iOS,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,28
29,42.0-,Fmle,India,$94603.000,True,True,job:labor/worker,rURAL,TIKTOK,181,8.0.0,4513,Entertainment,7.0,9834.0.0,9,14.0.0,32.0,38:,Evening,6.0.0,4.0.:,/Boredom,Smrtphone,MacOS,2:00 PM,8.0.0,2.0.0,Atwork,Mobile-Data,29
30,44.0-,Mle,xIndia,$57481.000,True,False,job:driver,uRBAN,tiktok,118,10.0.0,4760,Pranks,5.0,2160.0.0,5,16.0.0,10.0,91:,Evening,6.0.0,4.0.:,/Entertainment,Smrtphone,Android,2:00 PM,8.0.0,2.0.0,Athome,Wi-Fi,30
31,59.0-,Mle,United States,$29557.000,False,True,job:driver,rURAL,INSTAGRAM,193,13.0.0,5875,Pranks,21.0,5878.0.0,9,23.0.0,40.0,36:,Morning,8.0.0,2.0.:,/Habit,Smrtphone,iOS,8:00 AM,10.0.0,0.0.0,Atschool,Wi-Fi,31
32,45.0-,Mle,xUnited States,$94971.000,True,False,job:Students,rURAL,FACEBOOK,207,8.0.0,3689,Jokes/Memes,18.0,7663.0.0,7,29.0.0,38.0,87:,Afternoon,5.0.0,5.0.:,/Habit,Smrtphone,Android,5:00 PM,7.0.0,3.0.0,Athome,Mobile-Data,32
33,33.0-,Mle,India,$20162.000,False,True,job:Labor/worker,rURAL,instagram,96,4.0.0,7690,Trends,23.0,3749.0.0,9,15.0.0,22.0,55:,Night,3.0.0,7.0.:,/Boredom,Tablett,iOS,9:00 PM,5.0.0,5.0.0,Commuting,Mobile-Data,33
34,32.0-,Other,xMexico,$54742.000,True,False,job:waiting staff,rURAL,facebook,210,4.0.0,1380,Trends,12.0,2922.0.0,7,19.0.0,14.0,85:,Evening,6.0.0,4.0.:,/Entertainment,Smrtphone,Android,2:00 PM,8.0.0,2.0.0,Atwork,Mobile-Data,34
35,64.0-,Fmle,xVietnam,$39675.000,False,True,job:Students,rURAL,TIKTOK,284,5.0.0,4244,Entertainment,6.0,6486.0.0,9,27.0.0,17.0,13:,Evening,6.0.0,4.0.:,/Entertainment,Tablett,iOS,2:00 PM,8.0.0,2.0.0,Atschool,Mobile-Data,35
36,61.0-,Other,Mexico,$93997.000,True,False,job:Students,uRBAN,TIKTOK,220,1.0.0,9581,Jokes/Memes,27.0,8112.0.0,2,9.0.0,21.0,37:,Night,3.0.0,7.0.:,/Procrastination,Smrtphone,Android,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,36
37,20.0-,Mle,xUnited States,$37015.000,False,True,job:Labor/worker,rURAL,TIKTOK,127,17.0.0,6508,Entertainment,1.0,8771.0.0,8,5.0.0,48.0,47:,Night,3.0.0,7.0.:,/Entertainment,Tablett,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,37
38,nan-,Mle,xPhilippines,$70057.000,True,False,job:students,uRBAN,youtube,200,2.0.0,7820,Jokes/Memes,4.0,3804.0.0,7,5.0.0,15.0,90:,Afternoon,5.0.0,5.0.:,/Boredom,Smrtphone,iOS,5:00 PM,7.0.0,3.0.0,Atschool,Wi-Fi,38
39,24.0-,Mle,xBrazil,$52591.000,True,True,job:cashier,rURAL,YOUTUBE,51,8.0.0,8594,Jokes/Memes,19.0,4878.0.0,6,11.0.0,15.0,71:,Night,3.0.0,7.0.:,/Habit,Smrtphone,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,39
40,38.0-,Mle,xGermany,$29833.000,False,False,job:Students,rURAL,youtube,51,7.0.0,2654,ASMR,12.0,2368.0.0,5,28.0.0,1.0,22:,Afternoon,5.0.0,5.0.:,/Boredom,Tablett,Android,5:00 PM,7.0.0,3.0.0,Commuting,Mobile-Data,40
41,26.0-,Mle,Pakistan,$27896.000,False,True,job:Waiting staff,uRBAN,instagram,285,15.0.0,5612,Comedy,15.0,8093.0.0,4,20.0.0,24.0,39:,Evening,6.0.0,4.0.:,/Boredom,Smrtphone,Android,2:00 PM,8.0.0,2.0.0,Atwork,Mobile-Data,41
42,56.0-,Mle,India,$52972.000,True,False,job:students,uRBAN,TIKTOK,26,5.0.0,6128,ASMR,3.0,3932.0.0,7,25.0.0,12.0,87:,Evening,6.0.0,4.0.:,/Habit,Smrtphone,Android,2:00 PM,8.0.0,2.0.0,Atschool,Mobile-Data,42
43,35.0-,Other,xIndonesia,$69733.000,True,True,job:cashier,rURAL,TIKTOK,292,2.0.0,3924,Life Hacks,23.0,5608.0.0,3,24.0.0,10.0,58:,Morning,8.0.0,2.0.:,/Entertainment,Tablett,MacOS,8:00 AM,10.0.0,0.0.0,Athome,Mobile-Data,43
44,21.0-,Fmle,xPakistan,$61800.000,True,False,job:Waiting staff,rURAL,INSTAGRAM,267,7.0.0,8460,Gming,27.0,6635.0.0,8,28.0.0,46.0,30:,Night,3.0.0,7.0.:,/Entertainment,Tablett,Windows,9:00 PM,5.0.0,5.0.0,Atschool,Mobile-Data,44
45,42.0-,Other,Philippines,$25347.000,False,True,job:labor/worker,uRBAN,youtube,72,8.0.0,5913,Gming,28.0,6395.0.0,2,4.0.0,42.0,18:,Evening,6.0.0,4.0.:,/Boredom,Smrtphone,iOS,2:00 PM,8.0.0,2.0.0,Commuting,Mobile-Data,45
46,31.0-,Fmle,Pakistan,$79063.000,True,False,job:Waiting staff,rURAL,INSTAGRAM,71,7.0.0,5131,Comedy,26.0,6101.0.0,1,20.0.0,42.0,18:,Evening,6.0.0,4.0.:,/Procrastination,Smrtphone,Windows,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,46
47,26.0-,Mle,Vietnam,$22643.000,False,True,job:Labor/worker,rURAL,youtube,109,7.0.0,5440,Trends,20.0,9292.0.0,2,18.0.0,31.0,74:,Afternoon,5.0.0,5.0.:,/Procrastination,Smrtphone,MacOS,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,47
48,43.0-,Mle,xJapan,$60785.000,True,True,job:Students,rURAL,tiktok,28,14.0.0,7881,Pranks,28.0,9862.0.0,9,25.0.0,11.0,39:,Night,3.0.0,7.0.:,/Entertainment,Tablett,Android,9:00 PM,5.0.0,5.0.0,Atwork,Mobile-Data,48
49,19.0-,Fmle,xIndia,$38681.000,False,True,job:Students,rURAL,FACEBOOK,26,18.0.0,6450,Trends,8.0,5531.0.0,5,3.0.0,16.0,94:,Evening,6.0.0,4.0.:,/Boredom,Tablett,Android,2:00 PM,8.0.0,2.0.0,Atschool,Wi-Fi,49
50,37.0-,Mle,xUnited States,$70026.000,True,True,job:Students,uRBAN,youtube,255,6.0.0,1726,Life Hacks,11.0,4970.0.0,8,4.0.0,9.0,26:,Afternoon,5.0.0,5.0.:,/Procrastination,Smrtphone,iOS,5:00 PM,7.0.0,3.0.0,Athome,Mobile-Data,50
51,45.0-,Fmle,xUnited States,$35892.000,False,False,job:waiting staff,rURAL,TIKTOK,260,4.0.0,9305,Entertainment,16.0,6344.0.0,3,14.0.0,47.0,71:,Afternoon,5.0.0,5.0.:,/Entertainment,Tablett,Windows,5:00 PM,7.0.0,3.0.0,Athome,Wi-Fi,51
52,64.0-,Other,xMexico,$67299.000,True,True,job:Driver,rURAL,tiktok,90,10.0.0,7523,Entertainment,9.0,8408.0.0,7,7.0.0,14.0,7:,Evening,6.0.0,4.0.:,/Entertainment,Tablett,iOS,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,52
53,24.0-,Mle,Germany,$37073.000,False,False,job:students,rURAL,FACEBOOK,48,18.0.0,4785,Pranks,3.0,375.0.0,2,26.0.0,19.0,69:,Evening,6.0.0,4.0.:,/Boredom,Tablett,MacOS,2:00 PM,8.0.0,2.0.0,Commuting,Mobile-Data,53
54,61.0-,Mle,Vietnam,$50682.000,True,False,job:Driver,rURAL,tiktok,45,12.0.0,9473,Trends,5.0,7887.0.0,8,8.0.0,31.0,65:,Afternoon,5.0.0,5.0.:,/Procrastination,Computer,Android,5:00 PM,7.0.0,3.0.0,Atwork,Mobile-Data,54
55,25.0-,Other,India,$34289.000,False,False,job:cashier,rURAL,tiktok,206,16.0.0,1233,Life Hacks,20.0,1609.0.0,7,24.0.0,9.0,46:,Evening,6.0.0,4.0.:,/Habit,Smrtphone,iOS,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,55
56,64.0-,Mle,Japan,$27927.000,False,False,job:Manager,rURAL,YOUTUBE,167,7.0.0,8809,Life Hacks,14.0,2939.0.0,5,16.0.0,36.0,18:,Night,3.0.0,7.0.:,/Boredom,Smrtphone,Android,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,56
57,52.0-,Mle,Indonesia,$68330.000,True,False,job:Labor/worker,rURAL,youtube,213,6.0.0,8339,Jokes/Memes,28.0,4062.0.0,4,20.0.0,39.0,13:,Afternoon,5.0.0,5.0.:,/Entertainment,Smrtphone,Android,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,57
58,31.0-,Mle,xUnited States,$86707.000,True,True,job:waiting staff,rURAL,facebook,205,5.0.0,7447,Entertainment,26.0,1613.0.0,1,15.0.0,26.0,25:,Afternoon,5.0.0,5.0.:,/Habit,Smrtphone,Android,5:00 PM,7.0.0,3.0.0,Athome,Mobile-Data,58
59,34.0-,Mle,Vietnam,$97454.000,True,False,job:waiting staff,rURAL,FACEBOOK,225,3.0.0,4617,Vlogs,15.0,6578.0.0,5,7.0.0,8.0,8:,Night,3.0.0,7.0.:,/Entertainment,Tablett,Android,9:00 PM,5.0.0,5.0.0,Atschool,Mobile-Data,59
60,53.0-,Mle,Japan,$85428.000,True,False,job:Driver,uRBAN,TIKTOK,294,12.0.0,4726,Life Hacks,6.0,7851.0.0,9,26.0.0,24.0,74:,Night,3.0.0,7.0.:,/Habit,Smrtphone,iOS,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,60
61,57.0-,Fmle,xGermany,$70601.000,True,True,job:driver,rURAL,youtube,205,15.0.0,3678,Entertainment,27.0,3679.0.0,4,17.0.0,8.0,32:,Afternoon,5.0.0,5.0.:,/Entertainment,Smrtphone,iOS,5:00 PM,7.0.0,3.0.0,Athome,Wi-Fi,61
62,21.0-,Other,xUnited States,$97465.000,True,True,job:waiting staff,uRBAN,FACEBOOK,161,10.0.0,6288,Jokes/Memes,26.0,7540.0.0,9,22.0.0,19.0,17:,Afternoon,5.0.0,5.0.:,/Procrastination,Smrtphone,Android,5:00 PM,7.0.0,3.0.0,Commuting,Wi-Fi,62
63,19.0-,Mle,xUnited States,$22539.000,False,True,job:Waiting staff,rURAL,facebook,23,19.0.0,8481,Entertainment,4.0,9488.0.0,2,22.0.0,47.0,79:,Evening,6.0.0,4.0.:,/Habit,Computer,Android,2:00 PM,8.0.0,2.0.0,Atschool,Mobile-Data,63
64,23.0-,Mle,xVietnam,$42669.000,False,False,job:students,rURAL,instagram,155,16.0.0,1410,ASMR,8.0,7074.0.0,4,22.0.0,48.0,79:,Evening,6.0.0,4.0.:,/Boredom,Computer,iOS,2:00 PM,8.0.0,2.0.0,Commuting,Wi-Fi,64
65,59.0-,Mle,xUnited States,$90968.000,True,False,job:Teacher,rURAL,facebook,66,11.0.0,8206,Life Hacks,19.0,3996.0.0,9,12.0.0,30.0,48:,Afternoon,5.0.0,5.0.:,/Entertainment,Smrtphone,Android,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,65
66,21.0-,Other,India,$40644.000,False,False,job:teacher,rURAL,TIKTOK,220,8.0.0,257,Life Hacks,27.0,4786.0.0,4,18.0.0,22.0,63:,Afternoon,5.0.0,5.0.:,/Habit,Smrtphone,MacOS,5:00 PM,7.0.0,3.0.0,Athome,Mobile-Data,66
67,46.0-,Other,xIndia,$38745.000,False,True,job:Cashier,rURAL,YOUTUBE,277,3.0.0,1722,Gming,5.0,5695.0.0,5,24.0.0,9.0,40:,Evening,6.0.0,4.0.:,/Boredom,Smrtphone,Android,2:00 PM,8.0.0,2.0.0,Commuting,Mobile-Data,67
68,35.0-,Mle,Mexico,$48228.000,False,False,job:Students,rURAL,FACEBOOK,219,7.0.0,1424,Trends,13.0,9347.0.0,8,14.0.0,44.0,84:,Evening,6.0.0,4.0.:,/Boredom,Smrtphone,MacOS,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,68
69,43.0-,Mle,xVietnam,$54521.000,True,False,job:artist,rURAL,INSTAGRAM,26,7.0.0,4954,Life Hacks,16.0,6998.0.0,1,15.0.0,48.0,15:,Night,3.0.0,7.0.:,/Habit,Smrtphone,MacOS,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,69
70,61.0-,Fmle,xMexico,$46928.000,False,False,job:Students,rURAL,youtube,295,14.0.0,2991,Gming,1.0,2366.0.0,1,15.0.0,4.0,99:,Evening,6.0.0,4.0.:,/Habit,Computer,Android,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,70
71,51.0-,Fmle,xVietnam,$38322.000,False,False,job:students,rURAL,FACEBOOK,212,2.0.0,1196,Pranks,13.0,6764.0.0,9,5.0.0,37.0,6:,Afternoon,5.0.0,5.0.:,/Entertainment,Tablett,iOS,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,71
72,27.0-,Mle,Indonesia,$77714.000,True,True,job:labor/worker,uRBAN,INSTAGRAM,108,10.0.0,4560,Life Hacks,22.0,8976.0.0,9,16.0.0,8.0,94:,Night,3.0.0,7.0.:,/Boredom,Smrtphone,Windows,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,72
73,53.0-,Mle,Vietnam,$82292.000,True,False,job:engineer,rURAL,facebook,288,19.0.0,4366,Comedy,11.0,9273.0.0,4,5.0.0,1.0,63:,Evening,6.0.0,4.0.:,/Entertainment,Computer,Windows,2:00 PM,8.0.0,2.0.0,Atschool,Mobile-Data,73
74,31.0-,Fmle,Germany,$49055.000,False,True,job:Waiting staff,uRBAN,youtube,218,9.0.0,1245,Jokes/Memes,21.0,1614.0.0,2,2.0.0,28.0,8:,Night,3.0.0,7.0.:,/Boredom,Smrtphone,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,74
75,48.0-,Other,xPhilippines,$62891.000,True,False,job:Driver,rURAL,youtube,138,16.0.0,6767,Jokes/Memes,8.0,4555.0.0,9,20.0.0,6.0,95:,Night,3.0.0,7.0.:,/Procrastination,Computer,MacOS,9:00 PM,5.0.0,5.0.0,Atschool,Mobile-Data,75
76,32.0-,Mle,United States,$26588.000,False,True,job:Labor/worker,rURAL,YOUTUBE,297,19.0.0,5303,Jokes/Memes,25.0,2416.0.0,4,28.0.0,47.0,32:,Night,3.0.0,7.0.:,/Habit,Smrtphone,Android,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,76
77,25.0-,Fmle,India,$26304.000,False,False,job:driver,rURAL,tiktok,261,18.0.0,1307,Pranks,8.0,7288.0.0,6,25.0.0,36.0,45:,Night,3.0.0,7.0.:,/Procrastination,Smrtphone,Android,9:00 PM,5.0.0,5.0.0,Commuting,Wi-Fi,77
78,31.0-,Mle,xIndia,$27345.000,False,True,job:Labor/worker,rURAL,FACEBOOK,274,9.0.0,2403,Life Hacks,24.0,6862.0.0,1,9.0.0,11.0,52:,Afternoon,5.0.0,5.0.:,/Procrastination,Tablett,Android,5:00 PM,7.0.0,3.0.0,Commuting,Mobile-Data,78
79,40.0-,Other,xJapan,$49300.000,False,False,job:Labor/worker,rURAL,TIKTOK,280,16.0.0,497,Vlogs,28.0,3653.0.0,9,22.0.0,5.0,79:,Evening,6.0.0,4.0.:,/Boredom,Smrtphone,iOS,2:00 PM,8.0.0,2.0.0,Atschool,Wi-Fi,79
80,57.0-,Mle,xUnited States,$44259.000,False,True,job:Driver,rURAL,YOUTUBE,197,13.0.0,3400,Jokes/Memes,14.0,6639.0.0,5,27.0.0,24.0,82:,Night,3.0.0,7.0.:,/Habit,Tablett,Windows,9:00 PM,5.0.0,5.0.0,Atschool,Mobile-Data,80
81,38.0-,Mle,United States,$35352.000,False,False,job:Driver,rURAL,INSTAGRAM,223,10.0.0,910,Gming,13.0,496.0.0,3,9.0.0,47.0,13:,Evening,6.0.0,4.0.:,/Habit,Smrtphone,Android,2:00 PM,8.0.0,2.0.0,Athome,Mobile-Data,81
82,33.0-,Mle,Pakistan,$53365.000,True,True,job:labor/worker,uRBAN,FACEBOOK,292,14.0.0,373,Jokes/Memes,3.0,504.0.0,4,4.0.0,18.0,24:,Afternoon,5.0.0,5.0.:,/Entertainment,Smrtphone,Android,5:00 PM,7.0.0,3.0.0,Atschool,Mobile-Data,82
83,62.0-,Mle,xPhilippines,$39446.000,False,False,job:Students,rURAL,TIKTOK,220,12.0.0,6237,Pranks,4.0,7699.0.0,1,15.0.0,20.0,40:,Evening,6.0.0,4.0.:,/Entertainment,Smrtphone,MacOS,2:00 PM,8.0.0,2.0.0,Commuting,Mobile-Data,83
84,35.0-,Mle,India,$22336.000,False,True,job:Waiting staff,uRBAN,FACEBOOK,85,19.0.0,1345,Entertainment,27.0,5733.0.0,9,11.0.0,28.0,14:,Afternoon,5.0.0,5.0.:,/Boredom,Smrtphone,Android,5:00 PM,7.0.0,3.0.0,Atwork,Mobile-Data,84
85,64.0-,Mle,xBrazil,$82032.000,True,False,job:labor/worker,uRBAN,INSTAGRAM,157,7.0.0,8516,Jokes/Memes,20.0,8055.0.0,8,1.0.0,13.0,92:,Night,3.0.0,7.0.:,/Boredom,Tablett,iOS,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,85
86,41.0-,Other,xIndia,$95415.000,True,True,job:Waiting staff,rURAL,tiktok,222,15.0.0,2432,Life Hacks,15.0,3216.0.0,4,18.0.0,5.0,75:,Night,3.0.0,7.0.:,/Entertainment,Smrtphone,iOS,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,86
87,43.0-,Fmle,Indonesia,$27521.000,False,False,job:engineer,rURAL,youtube,118,16.0.0,4671,Trends,15.0,5688.0.0,2,29.0.0,30.0,70:,Night,3.0.0,7.0.:,/Habit,Computer,iOS,9:00 PM,5.0.0,5.0.0,Athome,Wi-Fi,87
88,42.0-,Other,xUnited States,$91707.000,True,True,job:manager,rURAL,tiktok,138,8.0.0,2785,Life Hacks,27.0,9600.0.0,9,1.0.0,1.0,62:,Night,3.0.0,7.0.:,/Entertainment,Computer,MacOS,9:00 PM,5.0.0,5.0.0,Athome,Mobile-Data,88
89,62.0-,Fmle,xUnited States,$43481.000,False,False,job:students,rURAL,FACEBOOK,19,10.0.0,9408,Jokes/Memes,21.0,4364.0.0,4,8.0.0,22.0,89:,Night,3.0.0,7.0.:,/Boredom,Smrtphone,MacOS,9:00 PM,5.0.0,5.0.0,Atwork,Mobile-Data,89
